Date,Open,High,Low,Close,Volume
01/02/1970,1.00000E+003,1.00000E+003,1.00000E+003,1.00000E+003,0.00000E+000
01/05/1970,1.00076E+003,1.00076E+003,1.00076E+003,1.00076E+003,0.00000E+000
01/06/1970,1.00127E+003,1.00127E+003,1.00127E+003,1.00127E+003,0.00000E+000
01/07/1970,1.00156E+003,1.00156E+003,1.00156E+003,1.00156E+003,0.00000E+000
01/08/1970,1.00190E+003,1.00190E+003,1.00190E+003,1.00190E+003,0.00000E+000
01/09/1970,1.00255E+003,1.00255E+003,1.00255E+003,1.00255E+003,0.00000E+000
01/12/1970,1.00339E+003,1.00339E+003,1.00339E+003,1.00339E+003,0.00000E+000
01/13/1970,1.00426E+003,1.00426E+003,1.00426E+003,1.00426E+003,0.00000E+000
01/14/1970,1.00490E+003,1.00490E+003,1.00490E+003,1.00490E+003,0.00000E+000
01/15/1970,1.00543E+003,1.00543E+003,1.00543E+003,1.00543E+003,0.00000E+000
01/16/1970,1.00617E+003,1.00617E+003,1.00617E+003,1.00617E+003,0.00000E+000
01/19/1970,1.00709E+003,1.00709E+003,1.00709E+003,1.00709E+003,0.00000E+000
01/20/1970,1.00788E+003,1.00788E+003,1.00788E+003,1.00788E+003,0.00000E+000
01/21/1970,1.00860E+003,1.00860E+003,1.00860E+003,1.00860E+003,0.00000E+000
01/22/1970,1.00926E+003,1.00926E+003,1.00926E+003,1.00926E+003,0.00000E+000
01/23/1970,1.00975E+003,1.00975E+003,1.00975E+003,1.00975E+003,0.00000E+000
01/26/1970,1.01009E+003,1.01009E+003,1.01009E+003,1.01009E+003,0.00000E+000
01/27/1970,1.01040E+003,1.01040E+003,1.01040E+003,1.01040E+003,0.00000E+000
01/28/1970,1.01066E+003,1.01066E+003,1.01066E+003,1.01066E+003,0.00000E+000
01/29/1970,1.01076E+003,1.01076E+003,1.01076E+003,1.01076E+003,0.00000E+000
01/30/1970,1.01086E+003,1.01086E+003,1.01086E+003,1.01086E+003,0.00000E+000
02/02/1970,1.01145E+003,1.01145E+003,1.01145E+003,1.01145E+003,0.00000E+000
02/03/1970,1.01239E+003,1.01239E+003,1.01239E+003,1.01239E+003,0.00000E+000
02/04/1970,1.01352E+003,1.01352E+003,1.01352E+003,1.01352E+003,0.00000E+000
02/05/1970,1.01478E+003,1.01478E+003,1.01478E+003,1.01478E+003,0.00000E+000
02/06/1970,1.01623E+003,1.01623E+003,1.01623E+003,1.01623E+003,0.00000E+000
02/09/1970,1.01790E+003,1.01790E+003,1.01790E+003,1.01790E+003,0.00000E+000
02/10/1970,1.01940E+003,1.01940E+003,1.01940E+003,1.01940E+003,0.00000E+000
02/11/1970,1.02067E+003,1.02067E+003,1.02067E+003,1.02067E+003,0.00000E+000
02/12/1970,1.02174E+003,1.02174E+003,1.02174E+003,1.02174E+003,0.00000E+000
02/13/1970,1.02316E+003,1.02316E+003,1.02316E+003,1.02316E+003,0.00000E+000
02/16/1970,1.02457E+003,1.02457E+003,1.02457E+003,1.02457E+003,0.00000E+000
02/17/1970,1.02593E+003,1.02593E+003,1.02593E+003,1.02593E+003,0.00000E+000
02/18/1970,1.02721E+003,1.02721E+003,1.02721E+003,1.02721E+003,0.00000E+000
02/19/1970,1.02842E+003,1.02842E+003,1.02842E+003,1.02842E+003,0.00000E+000
02/20/1970,1.02937E+003,1.02937E+003,1.02937E+003,1.02937E+003,0.00000E+000
02/24/1970,1.03013E+003,1.03013E+003,1.03013E+003,1.03013E+003,0.00000E+000
02/25/1970,1.03108E+003,1.03108E+003,1.03108E+003,1.03108E+003,0.00000E+000
02/26/1970,1.03236E+003,1.03236E+003,1.03236E+003,1.03236E+003,0.00000E+000
02/27/1970,1.03382E+003,1.03382E+003,1.03382E+003,1.03382E+003,0.00000E+000
03/02/1970,1.03542E+003,1.03542E+003,1.03542E+003,1.03542E+003,0.00000E+000
03/03/1970,1.03690E+003,1.03690E+003,1.03690E+003,1.03690E+003,0.00000E+000
